Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc01g005560.2	K4ASC2	K4ASC2_SOLLC	101268602	LOC101268602
Solyc01g005570.2	K4ASC3	K4ASC3_SOLLC		
Solyc01g005580.2	K4ASC4	K4ASC4_SOLLC		
Solyc01g005590.2	K4ASC5	K4ASC5_SOLLC	104645726	LOC104645726
Solyc01g005600.2	K4ASC6	K4ASC6_SOLLC	101265466	LOC101265466
Solyc01g005610.2	K4ASC7	K4ASC7_SOLLC		
Solyc01g005620.2	K4ASC8	K4ASC8_SOLLC	778218	
Solyc01g005630.1	K4ASC9	K4ASC9_SOLLC		
Solyc01g005640.2	K4ASD0	K4ASD0_SOLLC		
Solyc01g005650.1	K4ASD1	K4ASD1_SOLLC		
